"id","Symbol","Description","KEGG_A_class","KEGG_B_class","Pathway","K_ID","GO.Component","GO.Function","GO.Process","TF_family"
"ENSMUSG00000045532","C1ql1","complement component 1, q subcomponent-like 1 [Source:MGI Symbol;Acc:MGI:1344400]","-","-","-","-","-","GO:0005515//protein binding","-","--"
"ENSMUSG00000036907","C1ql2","complement component 1, q subcomponent-like 2 [Source:MGI Symbol;Acc:MGI:3032521]","-","-","-","-","-","GO:0005515//protein binding","-","--"
"ENSMUSG00000001076","C1ql4","complement component 1, q subcomponent-like 4 [Source:MGI Symbol;Acc:MGI:3579909]","-","-","-","-","-","GO:0005515//protein binding","-","--"
"ENSMUSG00000055172","C1ra","complement component 1, r subcomponent A [Source:MGI Symbol;Acc:MGI:1355313]","Cellular Processes;Human Diseases;Human Diseases;Organismal Systems;Human Diseases","Transport and catabolism;Immune disease;Infectious disease: bacterial;Immune system;Infectious disease: bacterial","ko04145//Phagosome;ko05322//Systemic lupus erythematosus;ko05150//Staphylococcus aureus infection;ko04610//Complement and coagulation cascades;ko05133//Pertussis","K01330;K01330;K01330;K01330;K01330","-","GO:0004252//serine-type endopeptidase activity;GO:0005509//calcium ion binding","GO:0006508//proteolysis;GO:0006958//complement activation, classical pathway","--"
"ENSMUSG00000098470","C1rb","complement component 1, r subcomponent B [Source:MGI Symbol;Acc:MGI:3779804]","Cellular Processes;Human Diseases;Human Diseases;Organismal Systems;Human Diseases","Transport and catabolism;Immune disease;Infectious disease: bacterial;Immune system;Infectious disease: bacterial","ko04145//Phagosome;ko05322//Systemic lupus erythematosus;ko05150//Staphylococcus aureus infection;ko04610//Complement and coagulation cascades;ko05133//Pertussis","K01330;K01330;K01330;K01330;K01330","-","GO:0004252//serine-type endopeptidase activity;GO:0005509//calcium ion binding","GO:0006508//proteolysis;GO:0006958//complement activation, classical pathway","--"
"ENSMUSG00000038527","C1rl","complement component 1, r subcomponent-like [Source:MGI Symbol;Acc:MGI:2660692]","-","-","-","-","-","GO:0004252//serine-type endopeptidase activity","GO:0006508//proteolysis","--"
"ENSMUSG00000038521","C1sa","complement component 1, s subcomponent 1 [Source:MGI Symbol;Acc:MGI:1355312]","Human Diseases;Human Diseases;Organismal Systems;Human Diseases","Immune disease;Infectious disease: bacterial;Immune system;Infectious disease: bacterial","ko05322//Systemic lupus erythematosus;ko05150//Staphylococcus aureus infection;ko04610//Complement and coagulation cascades;ko05133//Pertussis","K01331;K01331;K01331;K01331","-","GO:0004252//serine-type endopeptidase activity;GO:0005509//calcium ion binding","GO:0006508//proteolysis;GO:0006958//complement activation, classical pathway","--"
"ENSMUSG00000079343","C1sb","complement component 1, s subcomponent 2 [Source:MGI Symbol;Acc:MGI:3644269]","Human Diseases;Human Diseases;Organismal Systems;Human Diseases","Immune disease;Infectious disease: bacterial;Immune system;Infectious disease: bacterial","ko05322//Systemic lupus erythematosus;ko05150//Staphylococcus aureus infection;ko04610//Complement and coagulation cascades;ko05133//Pertussis","K01331;K01331;K01331;K01331","-","GO:0004252//serine-type endopeptidase activity;GO:0005509//calcium ion binding","GO:0006508//proteolysis;GO:0006958//complement activation, classical pathway","--"
"ENSMUSG00000024371","C2","complement component 2 (within H-2S) [Source:MGI Symbol;Acc:MGI:88226]","Human Diseases;Human Diseases;Organismal Systems;Human Diseases","Immune disease;Infectious disease: bacterial;Immune system;Infectious disease: bacterial","ko05322//Systemic lupus erythematosus;ko05150//Staphylococcus aureus infection;ko04610//Complement and coagulation cascades;ko05133//Pertussis","K01332;K01332;K01332;K01332","GO:0005576//extracellular region","GO:0004252//serine-type endopeptidase activity","GO:0006508//proteolysis;GO:0006956//complement activation;GO:0006958//complement activation, classical pathway","--"
"ENSMUSG00000024164","C3","complement component 3 [Source:MGI Symbol;Acc:MGI:88227]","Human Diseases;Environmental Information Processing;Cellular Processes;Human Diseases;Human Diseases;Human Diseases;Human Diseases;Human Diseases;Human Diseases;Human Diseases;Human Diseases;Organismal Systems;Human Diseases;Human Diseases","Infectious disease: viral;Signaling molecules and interaction;Transport and catabolism;Infectious disease: bacterial;Immune disease;Infectious disease: bacterial;Infectious disease: bacterial;Cancer: overview;Infectious disease: viral;Infectious disease: parasitic;Infectious disease: parasitic;Immune system;Infectious disease: bacterial;Infectious disease: bacterial","ko05168//Herpes simplex virus 1 infection;ko04080//Neuroactive ligand-receptor interaction;ko04145//Phagosome;ko05152//Tuberculosis;ko05322//Systemic lupus erythematosus;ko05150//Staphylococcus aureus infection;ko05131//Shigellosis;ko05203//Viral carcinogenesis;ko05167//Kaposi sarcoma-associated herpesvirus infection;ko05140//Leishmaniasis;ko05142//Chagas disease;ko04610//Complement and coagulation cascades;ko05133//Pertussis;ko05134//Legionellosis","K03990;K03990;K03990;K03990;K03990;K03990;K03990;K03990;K03990;K03990;K03990;K03990;K03990;K03990","GO:0005576//extracellular region;GO:0005615//extracellular space","GO:0004866//endopeptidase inhibitor activity;GO:0005515//protein binding","GO:0006954//inflammatory response;GO:0006956//complement activation","--"
"ENSMUSG00000040552","C3ar1","complement component 3a receptor 1 [Source:MGI Symbol;Acc:MGI:1097680]","Environmental Information Processing;Human Diseases;Organismal Systems","Signaling molecules and interaction;Infectious disease: bacterial;Immune system","ko04080//Neuroactive ligand-receptor interaction;ko05150//Staphylococcus aureus infection;ko04610//Complement and coagulation cascades","K04009;K04009;K04009","GO:0016021//integral component of membrane","GO:0004875//complement receptor activity;GO:0004876//complement component C3a receptor activity;GO:0004930//G-protein coupled receptor activity","GO:0006935//chemotaxis;GO:0007186//G-protein coupled receptor signaling pathway","--"
"ENSMUSG00000073418","C4b","complement component 4B (Chido blood group) [Source:MGI Symbol;Acc:MGI:88228]","Human Diseases;Human Diseases;Organismal Systems;Human Diseases","Immune disease;Infectious disease: bacterial;Immune system;Infectious disease: bacterial","ko05322//Systemic lupus erythematosus;ko05150//Staphylococcus aureus infection;ko04610//Complement and coagulation cascades;ko05133//Pertussis","K03989;K03989;K03989;K03989","GO:0005576//extracellular region;GO:0005615//extracellular space","GO:0004866//endopeptidase inhibitor activity;GO:0005515//protein binding","GO:0006954//inflammatory response;GO:0006956//complement activation","--"
"ENSMUSG00000026405","C4bpa","complement component 4 binding protein [Source:MGI Symbol;Acc:MGI:88229]","Organismal Systems;Human Diseases","Immune system;Infectious disease: bacterial","ko04610//Complement and coagulation cascades;ko05133//Pertussis","K04002;K04002","-","-","-","--"
"ENSMUSG00000026874","C5","hemolytic complement [Source:MGI Symbol;Acc:MGI:96031]","Human Diseases;Environmental Information Processing;Human Diseases;Human Diseases;Organismal Systems;Human Diseases;Human Diseases","Infectious disease: viral;Signaling molecules and interaction;Immune disease;Infectious disease: bacterial;Immune system;Infectious disease: bacterial;Neurodegenerative disease","ko05168//Herpes simplex virus 1 infection;ko04080//Neuroactive ligand-receptor interaction;ko05322//Systemic lupus erythematosus;ko05150//Staphylococcus aureus infection;ko04610//Complement and coagulation cascades;ko05133//Pertussis;ko05020//Prion disease","K03994;K03994;K03994;K03994;K03994;K03994;K03994","GO:0005576//extracellular region;GO:0005615//extracellular space","GO:0004866//endopeptidase inhibitor activity;GO:0005515//protein binding","-","--"
"ENSMUSG00000049130","C5ar1","complement component 5a receptor 1 [Source:MGI Symbol;Acc:MGI:88232]","Environmental Information Processing;Human Diseases;Organismal Systems","Signaling molecules and interaction;Infectious disease: bacterial;Immune system","ko04080//Neuroactive ligand-receptor interaction;ko05150//Staphylococcus aureus infection;ko04610//Complement and coagulation cascades","K04010;K04010;K04010","GO:0016021//integral component of membrane","GO:0004875//complement receptor activity;GO:0004878//complement component C5a receptor activity;GO:0004930//G-protein coupled receptor activity","GO:0006935//chemotaxis;GO:0007186//G-protein coupled receptor signaling pathway","--"
"ENSMUSG00000074361","C5ar2","complement component 5a receptor 2 [Source:MGI Symbol;Acc:MGI:2442013]","-","-","-","-","GO:0016021//integral component of membrane","GO:0004878//complement component C5a receptor activity;GO:0004930//G-protein coupled receptor activity","GO:0006935//chemotaxis;GO:0006954//inflammatory response;GO:0007186//G-protein coupled receptor signaling pathway;GO:0050679//positive regulation of epithelial cell proliferation;GO:0070374//positive regulation of ERK1 and ERK2 cascade","--"
"ENSMUSG00000022181","C6","complement component 6 [Source:MGI Symbol;Acc:MGI:88233]","Human Diseases;Organismal Systems;Human Diseases","Immune disease;Immune system;Neurodegenerative disease","ko05322//Systemic lupus erythematosus;ko04610//Complement and coagulation cascades;ko05020//Prion disease","K03995;K03995;K03995","GO:0005579//membrane attack complex","GO:0005515//protein binding","GO:0006955//immune response","--"
"ENSMUSG00000079105","C7","complement component 7 [Source:MGI Symbol;Acc:MGI:88235]","Human Diseases;Organismal Systems;Human Diseases","Immune disease;Immune system;Neurodegenerative disease","ko05322//Systemic lupus erythematosus;ko04610//Complement and coagulation cascades;ko05020//Prion disease","K03996;K03996;K03996","GO:0005579//membrane attack complex","GO:0005515//protein binding","GO:0006955//immune response;GO:0006956//complement activation","--"
"ENSMUSG00000035031","C8a","complement component 8, alpha polypeptide [Source:MGI Symbol;Acc:MGI:2668347]","Human Diseases;Human Diseases;Organismal Systems;Human Diseases","Immune disease;Infectious disease: parasitic;Immune system;Neurodegenerative disease","ko05322//Systemic lupus erythematosus;ko05146//Amoebiasis;ko04610//Complement and coagulation cascades;ko05020//Prion disease","K03997;K03997;K03997;K03997","GO:0005579//membrane attack complex","GO:0005515//protein binding","GO:0006955//immune response;GO:0006956//complement activation","--"
"ENSMUSG00000029656","C8b","complement component 8, beta polypeptide [Source:MGI Symbol;Acc:MGI:88236]","Human Diseases;Human Diseases;Organismal Systems;Human Diseases","Immune disease;Infectious disease: parasitic;Immune system;Neurodegenerative disease","ko05322//Systemic lupus erythematosus;ko05146//Amoebiasis;ko04610//Complement and coagulation cascades;ko05020//Prion disease","K03998;K03998;K03998;K03998","GO:0005579//membrane attack complex","GO:0005515//protein binding","GO:0006955//immune response;GO:0006956//complement activation","--"
"ENSMUSG00000015083","C8g","complement component 8, gamma polypeptide [Source:MGI Symbol;Acc:MGI:88237]","Human Diseases;Human Diseases;Organismal Systems;Human Diseases","Immune disease;Infectious disease: parasitic;Immune system;Neurodegenerative disease","ko05322//Systemic lupus erythematosus;ko05146//Amoebiasis;ko04610//Complement and coagulation cascades;ko05020//Prion disease","K03999;K03999;K03999;K03999","GO:0005579//membrane attack complex","-","GO:0006956//complement activation","--"
"ENSMUSG00000022149","C9","complement component 9 [Source:MGI Symbol;Acc:MGI:1098282]","Human Diseases;Human Diseases;Organismal Systems;Human Diseases","Immune disease;Infectious disease: parasitic;Immune system;Neurodegenerative disease","ko05322//Systemic lupus erythematosus;ko05146//Amoebiasis;ko04610//Complement and coagulation cascades;ko05020//Prion disease","K04000;K04000;K04000;K04000","GO:0005579//membrane attack complex","GO:0005515//protein binding","GO:0006955//immune response","--"
"ENSMUSG00000057037","CFHR1","complement factor H-related 1 [Source:MGI Symbol;Acc:MGI:2138169]","Organismal Systems","Immune system","ko04610//Complement and coagulation cascades","K23815","-","-","-","--"
"ENSMUSG00000016493","Cd46","CD46 antigen, complement regulatory protein [Source:MGI Symbol;Acc:MGI:1203290]","Human Diseases;Organismal Systems","Infectious disease: viral;Immune system","ko05162//Measles;ko04610//Complement and coagulation cascades","K04007;K04007","GO:0009986//cell surface","-","-","--"
"ENSMUSG00000026399","Cd55","CD55 molecule, decay accelerating factor for complement [Source:MGI Symbol;Acc:MGI:104850]","Organismal Systems;Human Diseases;Organismal Systems","Immune system;Cardiovascular disease;Immune system","ko04640//Hematopoietic cell lineage;ko05416//Viral myocarditis;ko04610//Complement and coagulation cascades","K04006;K04006;K04006","-","-","-","--"
"ENSMUSG00000026401","Cd55b","CD55 molecule, decay accelerating factor for complement B [Source:MGI Symbol;Acc:MGI:104849]","Organismal Systems;Human Diseases;Organismal Systems","Immune system;Cardiovascular disease;Immune system","ko04640//Hematopoietic cell lineage;ko05416//Viral myocarditis;ko04610//Complement and coagulation cascades","K04006;K04006;K04006","-","-","-","--"
"ENSMUSG00000032679","Cd59a","CD59a antigen [Source:MGI Symbol;Acc:MGI:109177]","Organismal Systems;Organismal Systems","Immune system;Immune system","ko04640//Hematopoietic cell lineage;ko04610//Complement and coagulation cascades","K04008;K04008","-","-","GO:0001971//negative regulation of activation of membrane attack complex","--"
"ENSMUSG00000068686","Cd59b","CD59b antigen [Source:MGI Symbol;Acc:MGI:1888996]","Organismal Systems;Organismal Systems","Immune system;Immune system","ko04640//Hematopoietic cell lineage;ko04610//Complement and coagulation cascades","K04008;K04008","-","-","GO:0001971//negative regulation of activation of membrane attack complex","--"
"ENSMUSG00000090231","Cfb","complement factor B [Source:MGI Symbol;Acc:MGI:105975]","Human Diseases;Organismal Systems","Infectious disease: bacterial;Immune system","ko05150//Staphylococcus aureus infection;ko04610//Complement and coagulation cascades","K01335;K01335","GO:0005576//extracellular region","GO:0004252//serine-type endopeptidase activity","GO:0006508//proteolysis;GO:0006956//complement activation","--"
"ENSMUSG00000061780","Cfd","complement factor D (adipsin) [Source:MGI Symbol;Acc:MGI:87931]","Human Diseases;Organismal Systems","Infectious disease: bacterial;Immune system","ko05150//Staphylococcus aureus infection;ko04610//Complement and coagulation cascades","K01334;K01334","GO:0005615//extracellular space","GO:0004252//serine-type endopeptidase activity","GO:0006508//proteolysis;GO:0006957//complement activation, alternative pathway;GO:0007219//Notch signaling pathway","--"
"ENSMUSG00000026365","Cfh","complement component factor h [Source:MGI Symbol;Acc:MGI:88385]","Human Diseases;Organismal Systems","Infectious disease: bacterial;Immune system","ko05150//Staphylococcus aureus infection;ko04610//Complement and coagulation cascades","K04004;K04004","-","-","-","--"
"ENSMUSG00000058952","Cfi","complement component factor i [Source:MGI Symbol;Acc:MGI:105937]","Human Diseases;Organismal Systems","Infectious disease: bacterial;Immune system","ko05150//Staphylococcus aureus infection;ko04610//Complement and coagulation cascades","K01333;K01333","GO:0016020//membrane","GO:0004252//serine-type endopeptidase activity;GO:0005044//scavenger receptor activity;GO:0005515//protein binding","GO:0006508//proteolysis","--"
"ENSMUSG00000001128","Cfp","complement factor properdin [Source:MGI Symbol;Acc:MGI:97545]","Human Diseases","Infectious disease: viral","ko05168//Herpes simplex virus 1 infection","K15412","-","-","-","--"
"ENSMUSG00000022037","Clu","clusterin [Source:MGI Symbol;Acc:MGI:88423]","Organismal Systems","Immune system","ko04610//Complement and coagulation cascades","K17252","-","-","-","--"
"ENSMUSG00000038591","Colec10","collectin sub-family member 10 [Source:MGI Symbol;Acc:MGI:3606482]","-","-","-","-","-","-","-","--"
"ENSMUSG00000036655","Colec11","collectin sub-family member 11 [Source:MGI Symbol;Acc:MGI:1918943]","Cellular Processes","Transport and catabolism","ko04145//Phagosome","K10066","-","-","-","--"
"ENSMUSG00000036103","Colec12","collectin sub-family member 12 [Source:MGI Symbol;Acc:MGI:2152907]","Cellular Processes","Transport and catabolism","ko04145//Phagosome","K10062","-","-","-","--"
"ENSMUSG00000021999","Cpb2","carboxypeptidase B2 (plasma) [Source:MGI Symbol;Acc:MGI:1891837]","Organismal Systems;Organismal Systems;Organismal Systems","Digestive system;Digestive system;Immune system","ko04972//Pancreatic secretion;ko04974//Protein digestion and absorption;ko04610//Complement and coagulation cascades","K01300;K01300;K01300","-","GO:0004181//metallocarboxypeptidase activity;GO:0008270//zinc ion binding","GO:0006508//proteolysis","--"
"ENSMUSG00000016481","Cr1l","complement component (3b/4b) receptor 1-like [Source:MGI Symbol;Acc:MGI:88513]","Human Diseases;Organismal Systems;Human Diseases;Organismal Systems;Human Diseases;Human Diseases","Infectious disease: bacterial;Immune system;Infectious disease: parasitic;Immune system;Infectious disease: bacterial;Infectious disease: parasitic","ko05152//Tuberculosis;ko04640//Hematopoietic cell lineage;ko05140//Leishmaniasis;ko04610//Complement and coagulation cascades;ko05134//Legionellosis;ko05144//Malaria","K04011;K04011;K04011;K04011;K04011;K04011","-","-","-","--"
"ENSMUSG00000026616","Cr2","complement receptor 2 [Source:MGI Symbol;Acc:MGI:88489]","Human Diseases;Organismal Systems;Organismal Systems;Organismal Systems","Infectious disease: viral;Immune system;Immune system;Immune system","ko05169//Epstein-Barr virus infection;ko04640//Hematopoietic cell lineage;ko04662//B cell receptor signaling pathway;ko04610//Complement and coagulation cascades","K04012;K04012;K04012;K04012","-","-","-","--"
"ENSMUSG00000003549","Ercc1","excision repair cross-complementing rodent repair deficiency, complementation group 1 [Source:MGI Symbol;Acc:MGI:95412]","Human Diseases;Genetic Information Processing;Genetic Information Processing","Drug resistance: antineoplastic;Replication and repair;Replication and repair","ko01524//Platinum drug resistance;ko03460//Fanconi anemia pathway;ko03420//Nucleotide excision repair","K10849;K10849;K10849","GO:0005634//nucleus","GO:0003684//damaged DNA binding","GO:0006281//DNA repair","--"
"ENSMUSG00000030400","Ercc2","excision repair cross-complementing rodent repair deficiency, complementation group 2 [Source:MGI Symbol;Acc:MGI:95413]","Genetic Information Processing;Genetic Information Processing","Transcription;Replication and repair","ko03022//Basal transcription factors;ko03420//Nucleotide excision repair","K10844;K10844","GO:0005634//nucleus","GO:0003676//nucleic acid binding;GO:0003677//DNA binding;GO:0003678//DNA helicase activity;GO:0004386//helicase activity;GO:0005524//ATP binding;GO:0016818//hydrolase activity, acting on acid anhydrides, in phosphorus-containing anhydrides","GO:0006139//nucleobase-containing compound metabolic process;GO:0006289//nucleotide-excision repair","--"
"ENSMUSG00000024382","Ercc3","excision repair cross-complementing rodent repair deficiency, complementation group 3 [Source:MGI Symbol;Acc:MGI:95414]","Genetic Information Processing;Genetic Information Processing","Transcription;Replication and repair","ko03022//Basal transcription factors;ko03420//Nucleotide excision repair","K10843;K10843","-","GO:0003677//DNA binding;GO:0003678//DNA helicase activity;GO:0005524//ATP binding;GO:0016787//hydrolase activity","GO:0006289//nucleotide-excision repair;GO:0006367//transcription initiation from RNA polymerase II promoter","--"
"ENSMUSG00000022545","Ercc4","excision repair cross-complementing rodent repair deficiency, complementation group 4 [Source:MGI Symbol;Acc:MGI:1354163]","Genetic Information Processing;Genetic Information Processing","Replication and repair;Replication and repair","ko03460//Fanconi anemia pathway;ko03420//Nucleotide excision repair","K10848;K10848","-","GO:0003677//DNA binding;GO:0003697//single-stranded DNA binding;GO:0004518//nuclease activity;GO:0004520//endodeoxyribonuclease activity","GO:0006281//DNA repair","--"
"ENSMUSG00000026048","Ercc5","excision repair cross-complementing rodent repair deficiency, complementation group 5 [Source:MGI Symbol;Acc:MGI:103582]","Genetic Information Processing","Replication and repair","ko03420//Nucleotide excision repair","K10846","GO:0005634//nucleus","GO:0003677//DNA binding;GO:0003697//single-stranded DNA binding;GO:0003824//catalytic activity;GO:0004518//nuclease activity;GO:0004519//endonuclease activity;GO:0016788//hydrolase activity, acting on ester bonds","GO:0006289//nucleotide-excision repair","--"
"ENSMUSG00000054051","Ercc6","excision repair cross-complementing rodent repair deficiency, complementation group 6 [Source:MGI Symbol;Acc:MGI:1100494]","Genetic Information Processing","Replication and repair","ko03420//Nucleotide excision repair","K10841","-","GO:0005524//ATP binding","-","--"
"ENSMUSG00000051220","Ercc6l","excision repair cross-complementing rodent repair deficiency complementation group 6 like [Source:MGI Symbol;Acc:MGI:2654144]","-","-","-","-","-","GO:0005524//ATP binding","-","--"
"ENSMUSG00000021470","Ercc6l2","excision repair cross-complementing rodent repair deficiency, complementation group 6 like 2 [Source:MGI Symbol;Acc:MGI:1923501]","-","-","-","-","-","GO:0005524//ATP binding","-","--"
"ENSMUSG00000021694","Ercc8","excision repaiross-complementing rodent repair deficiency, complementation group 8 [Source:MGI Symbol;Acc:MGI:1919241]","Genetic Information Processing;Genetic Information Processing","Folding, sorting and degradation;Replication and repair","ko04120//Ubiquitin mediated proteolysis;ko03420//Nucleotide excision repair","K10570;K10570","-","GO:0005515//protein binding","GO:0006283//transcription-coupled nucleotide-excision repair","--"
"ENSMUSG00000031444","F10","coagulation factor X [Source:MGI Symbol;Acc:MGI:103107]","Organismal Systems","Immune system","ko04610//Complement and coagulation cascades","K01314","GO:0005576//extracellular region","GO:0004252//serine-type endopeptidase activity;GO:0005509//calcium ion binding","GO:0006508//proteolysis;GO:0007596//blood coagulation","--"
"ENSMUSG00000031645","F11","coagulation factor XI [Source:MGI Symbol;Acc:MGI:99481]","Organismal Systems","Immune system","ko04610//Complement and coagulation cascades","K01323","GO:0005576//extracellular region","GO:0004252//serine-type endopeptidase activity;GO:0005515//protein binding","GO:0006508//proteolysis","--"
"ENSMUSG00000021492","F12","coagulation factor XII (Hageman factor) [Source:MGI Symbol;Acc:MGI:1891012]","Organismal Systems","Immune system","ko04610//Complement and coagulation cascades","K01328","GO:0005576//extracellular region;GO:0005615//extracellular space","GO:0004252//serine-type endopeptidase activity;GO:0005509//calcium ion binding","GO:0006508//proteolysis","--"
"ENSMUSG00000039109","F13a1","coagulation factor XIII, A1 subunit [Source:MGI Symbol;Acc:MGI:1921395]","Organismal Systems","Immune system","ko04610//Complement and coagulation cascades","K03917","-","GO:0003810//protein-glutamine gamma-glutamyltransferase activity","GO:0018149//peptide cross-linking;GO:0072378//blood coagulation, fibrin clot formation","--"
"ENSMUSG00000026368","F13b","coagulation factor XIII, beta subunit [Source:MGI Symbol;Acc:MGI:88379]","Organismal Systems","Immune system","ko04610//Complement and coagulation cascades","K03906","-","-","-","--"
"ENSMUSG00000027249","F2","coagulation factor II [Source:MGI Symbol;Acc:MGI:88380]","Human Diseases;Environmental Information Processing;Human Diseases;Environmental Information Processing;Cellular Processes;Organismal Systems;Organismal Systems","Cancer: overview;Signaling molecules and interaction;Infectious disease: bacterial;Signal transduction;Cell motility;Immune system;Immune system","ko05200//Pathways in cancer;ko04080//Neuroactive ligand-receptor interaction;ko05130//Pathogenic Escherichia coli infection;ko04072//Phospholipase D signaling pathway;ko04810//Regulation of actin cytoskeleton;ko04611//Platelet activation;ko04610//Complement and coagulation cascades","K01313;K01313;K01313;K01313;K01313;K01313;K01313","GO:0005576//extracellular region","GO:0004252//serine-type endopeptidase activity;GO:0005509//calcium ion binding","GO:0006508//proteolysis;GO:0007596//blood coagulation","--"
